,Street,City,State
1,5475 Windward Parkway,Alpharetta,GA
2,700 E Northern Lights Blvd,Anchorage,AK
3,1807 North Collins St,Arlington,TX
4,339 S College Street,Auburn,AL
5,18139 Biscayne Boulevard,Aventura,FL
6,380 W Main St,Avon,CT
7,6919 SW 18th St.,Boca Raton,FL
8,9674 Glades Rd. Ste 530,Boca Raton,FL
9,1500 Gateway Blvd Unit 112,Boynton Beach,FL
10,8773 Boynton Beach Blvd,Boynton Beach,FL
11,7010 Executive Center Dr.,Brentwood,TN
12,719 86th Street,New York,NY
13,2052 Renaissance Park Place,Cary,NC
14,2001 Walnut St Unit 101,Cary,NC
15,385 Merchant Walk Square,Charlottesville,VA
16,Downtown River West,Chicago,IL
17,121 East Freedom Way,Cincinnati,OH
18,One CNN Center Plaza,Atlanta,GA
19,6181 Old Dobbin Ln #200,Columbia,MD
20,6234 Jericho Turnpike,Commack,NY
21,2700 University Drive,Coral Springs,FL
22,2002 Portage Trail,Cayahoga Falls,OH
23,18260 Preston Rd.,Dallas,TX
24,11 South Pointe Dr. Suite G115,Dania Beach,FL
25,1902 S. University Drive,Davie,FL
26,660 Linton Blvd.,Delray Beach,FL
27,6 South Ocean Blvd,Delray Beach,FL
28,7959 Atlantic Ave. West,Delray,FL
29,1147 Broadway,Denver,CO
30,3530 NW 83 Avenue Suite 102,Doral,FL
31,"1850 Northwest 117th Place, Suite 311",Miami,FL
32,50 Terminal Dr.,Fort Lauderdale,FL
33,1465 SE 17th Street,Fort Lauderdale,FL
34,2477 E Sunrise Blvd.,Fort Lauderdale,FL
35,16441 Corporate Commerce Way,Fort Myers,FL
36,"6881 Daniels Parkway, Suite 110",Fort Myers,FL
37,7777 Coldwater Rd,Fort Wayne,IN
38,6650 N Beach St Suite 108,Fort Worth,TX
39,3524 SW Archer Rd,Gainesville,FL
40,1735 Milwaukee Avenue,Glenview,IL
41,1955 E Hallandale Beach Blvd,Hallandale,FL
42,2645 St. Rose Pkwy,Henderson,NV
43,1854 Catawba Valley Blvd SE,Hickory,NC
44,108 Riverside Ave,Jacksonville,FL
45,4890 Big Island Drive,Jacksonville,FL
46,147 Soundings Ave,Jupiter,FL
47,6230 W. Indiantown Rd. Suite 11,Jupiter,FL
48,2844 S Main Street,Kennesaw,GA
49,3298 Margaritaville Blvd.,Kissimmee,FL
50,765 W Osceola Parkway,Kissimmee,FL
51,3891 W Lake Mary Blvd,Lake Mary,FL
52,860 New London Rd,Latham,NY
53,4343 North Ocean Blvd,Lauderdale by the Sea,FL
54,968 Duluth Hwy,Lawrenceville,GA
55,11635 Ash St,Leawood,KS
56,1608 Village Market Blvd,Leesburg,VA
57,391 Rose St,Lexington,KY
58,141  Rojay  Dr,Lexington,KY
59,1816 Alysheba Way,Lexington,KY
60,3150 N Federal Highway,Lighthouse Point,FL
61,4210 82nd St,Lubbock,TX
62,1062 Tolland Turnpike,Manchester,CT
63,4501 W Expressway 83,McAllen,TX
64,1939 S Val Vista Drive,Mesa,AZ
65,6812 Collins Avenue,Miami Beach,FL
66,"7890 SW 104th St, B107",Miami,FL
67,1242 Washington Ave,Miami Beach,FL
68,7413  Eastchase  Pkwy,Montgomery,AL
69,1410 N. Ocean Blvd Suite 100,Myrtle Beach,SC
70,106  Sayebrook  Parkway,Myrtle Beach,SC
71,1514 Immokalee Road,Naples,FL
72,12712 Tamiami Trail East,Naples,FL
73,628 Atlantic Blvd Suite,Neptune Beach,FL
74,82nd and 2nd (UES),Manhattan,NY
75,11881 Grand Park Ave,North Bethesda,MD
76,801 Main Street North,Myrtle Beach,SC
77,18801  Traditiona  Dr,Northville,MI
78,8145  Honeygo  Blvd,Nottingham,MD
79,3115 Long Beach,Oceanside,NY
80,2145 Interstate Dr,Opelika,AL
81,13048  Narcoossee  Road Suite 1,Orlando,FL
82,4100 North  Alafaya  Trail,Orlando,FL
83,23 W. Mitchell Hammock Road #1101,Oviedo,FL
84,2466 PGA Blvd,Palm Beach Gardens,FL
85,6141 Peachtree Pkwy,Peachtree Corners,GA
86,10590 Pines Blvd Unit P1A,Pembroke Pines,FL
87,15910 Pines Blvd,Pembroke Pines,FL
88,44 North 12th Street,Philadelphia,PA
89,1200 Arch Street,Philadelphia,PA
90,1755 N 13th St,Philadelphia,PA
91,245 N. Pompano Beach Boulevard,Pompano Beach,FL
92,888 SW 5th Ave.,Portland,OR
93,60 Raymond Avenue,Poughkeepsie,NY
94,3000 Wake Forest,Raleigh,NC
95,2400 John Brantley Blvd,Morrisville,NC
96,1907 Nacogdoches Rd,San Antonio,TX
97,11309 Bandera Rd,San Antonio,TX
98,257 North Cattleman Road,Sarasota,FL
99,460 Broadway,Saratoga Springs,NY
100,11165 Park Blvd,Seminole,FL
101,8504 Fenton Ave,Silver Springs,MD
102,5844 S Padre Island Blvd,South Padre Island,TX
103,1465 NW St. Lucie West Blvd.,Port St. Lucie,FL
104,875 Central Ave,St. Petersburg,FL
105,1815 Thomasville Rd,Tallahassee,FL
106,714 S Howard Ave,Tampa,FL
107,4210 USF Holly Drive,Tampa,FL
108,927 E University Drive,Tempe,AZ
109,20 W Susquehanna Ave,Towson,MD
110,2910 Little Rd,New Port Richey,FL
111,1320 McFarland Blvd East,Tuscaloosa,AL
112,12836 West Forest Hill Blvd,Wellington,FL
113,700 S. Rosemary Ave,West Palm Beach,FL
114,2800 Weston Rd,Weston,FL
115,6610 Mooretown Rd. Suite F-G,Williamsburg,VA
116,4750 The Grove Drive,Windermere,FL
117,5845 Winter Garden Vineland Road,Windermere,FL
118,360 W. Plant Street,Winter Garden,FL
119,538 S Park Avenue,Winter Park,FL
120,15201 Potomac Town Place,Woodbridge,VA
