id,Street,City,State,Zipcode
1,"200 Summit Blvd. Suite 100",Birmingham,AL,35243
2,"7014 E. Camelback Road",Scottsdale,AZ,85251
3,"15030 N Scottsdale Road",Scottsdale,AZ,85254
4,"100 E. Camelback Road",Phoenix,AZ,85012
5,3400 E Sky Harbor Blvd,Phoenix,AZ,85034
6,"2024 E Williams Field Rd",Gilbert,AZ,85295
7,845 Market Street,San Francisco,CA,94103
8,"200 N. San Fernando Blvd.",Burbank,CA,91502
9,"10250 Santa Monica Boulevard",Los Angeles,CA,90067
10,"3060 Fillmore Street",San Francisco,CA,94123
11,3705 Paseo Place,San Diego,CA,92130
12,"400 West 8th Street",Los Angeles,CA,90014
13,"2171 Rosecrans Avenue",El Segundo,CA,90245
14,"1151 Galleria Blvd, Ste. FC-12,",Roseville,CA,95678
15,252 S. Brand Blvd.,Glendale,CA,91204
16,"33 Hillsdale Shopping Center",San Mateo,CA,94403
17,6201 Hollywood Blvd,Los Angeles,CA,90028
18,"1710 R Street",Sacramento,CA,95811
19,"2008 India Street",San Diego,CA,92101
20,6440 E Pacific Coast Hwy,Long Beach,CA,90803
21,"1401 Larkspur Landing Circle",Larkspur,CA,94939
22,"4786 Admiralty Way",Los Angeles,CA,90292
23,"675 Camino De La Reina",San Diego,CA,92108
24,"750 S Arroyo Parkway",Pasadena,CA,91105
25,180 El Camino Real,Palo Alto,CA,94304
26,6443 Topanga Canyon Blvd,Canoga Park,CA,91303
27,"1954 Telegraph Ave",Oakland,CA,94612
28,"4309 La Jolla Village Drive",San Diego,CA,92122
29,2855 Stevens Creek Blvd,Santa Clara,CA,95050
30,120 Promenade Way,Thousand Oaks,CA,91362
31,8520 Santa Monica Boulevard,West Hollywood,CA,90069
32,501 Wilshire Blvd,Santa Monica,CA,90401
33,330 South Hope Street,Los Angeles,CA,90071
34,1000 Vin Scully Ave,Los Angeles,CA,90012
35,"1680 29th Street",Boulder,CO,80301
36,"260 N Josephine Street",Denver,CO,80206
37,"5507 West 20th Ave",Edgewater,CO,80214
38,1509 Park Central Drive,Highlands Ranch,CO,80129
39,"2995 Larimer Street",Denver,CO,80205
40,"8500 Peña Blvd",Denver,CO,80249
41,"1340 Post Road",Darien,CT,06820
42,"986 Chapel Street",New Haven,CT,06510
43,1445 New Britain Ave,West Hartford,CT,06110
44,"1849 Post Road East",Westport,CT,06880
45,"2120 Fashion Center Blvd",New Castle,DE,19702
46,19565 Biscayne Blvd,Aventura,FL,33180
47,"1400 Glades Road",Boca Raton,FL,33431
48,1450 South Dixie Highway,Coral Gables,FL,33146
49,"8001 S. Orange Blossom Trail",Orlando,FL,32809
50,100 Terminal Dr,Fort Lauderdale,FL,33315
